,Car Name,Car url,Car Brand,Year,Selling Price,Current Value,KMs Driven,Fuel,Seller Type,max_power,Transmission,Owner,Mileage,Engine,Drive Type,Seats,Gear Box
546,KWID RXL,/used-car-details/used-Renault-KWID-2015-2019-RXL-cars-Kolkata_95F3E883CDB9C3BBB04E2CEC04B7F60B.htm,Renault,2,3.0,4.995,20000,Petrol,Individual,53.3,Manual,First Owner,25.17,799,FWD,5,5
547,i20 Magna,/used-car-details/used-Hyundai-i20-2009-2011-Magna-cars-Kolkata_42FB7202AC5688030EC2785162122B37.htm,Hyundai,11,2.25,10.18,39901,Petrol,Dealer,80.0,Manual,First Owner,18.5,1197,,5,5
548,Creta 1.6 VTVT SX Plus,/used-car-details/used-Hyundai-Creta-2015-2020-1.6-VTVT-SX-Plus-cars-Kolkata_95A64D3AB6E2B1B71C2F751B4A9ECD89.htm,Hyundai,5,6.5,15.625,43000,Petrol,Dealer,121.3,Manual,First Owner,13.0,1591,FWD,5,6
549,Tavera Neo 3 LT 9 Seats BSIV,/used-car-details/used-Chevrolet-Tavera-2012-2017-Neo-3-LT-9-Seats-BSIV-cars-Kolkata_4804176E77C30E91F1149DE30EA80E53.htm,Chevrolet,9,2.65,7.1519,90000,Diesel,Dealer,105.3,Manual,First Owner,12.2,1994,FWD,9,5
550,Grand i10 1.2 Kappa Sportz BSIV,/used-car-details/used-Hyundai-Grand-i10-1.2-Kappa-Sportz-BSIV-cars-Kolkata_9DE471F3D5C669AB59807FDFD22114F3.htm,Hyundai,3,5.0,13.4942,6100,Petrol,Individual,81.86,Manual,First Owner,18.9,1197,FWD,5,5
551,KWID RXT,/used-car-details/used-Renault-KWID-2015-2019-RXT-cars-Kolkata_E9D52633D2A1BC688F63DF716AD188B3.htm,Renault,5,2.5,4.995,47000,Petrol,Dealer,53.3,Manual,First Owner,25.17,799,FWD,5,5
552,Swift VDI,/used-car-details/used-Maruti-Swift-2011-2014-VDI-cars-Kolkata_4625F902FAF5541735B403512269BC4F.htm,Maruti,9,3.35,9.0411,82000,Diesel,Dealer,74.0,Manual,First Owner,22.9,1248,FWD,5,5
553,GO Plus T,/used-car-details/used-Datsun-GO-Plus-T-cars-Kolkata_99072EF4CAEB16E94684FC9DDD1BB9CB.htm,Datsun,6,2.7,6.285,48703,Petrol,Dealer,67.05,Manual,First Owner,19.02,1198,FWD,7,5
554,City i DTec V,/used-car-details/used-Honda-City-2015-2017-i-DTec-V-cars-Kolkata_35ABE0586BCF35A7C371DBF1C0688CE9.htm,Honda,5,5.5,15.54,43375,Diesel,Dealer,98.6,Manual,First Owner,26.0,1498,FWD,5,6
555,Swift VDI BSIV,/used-car-details/used-Maruti-Swift-2004-2011-VDI-BSIV-cars-Kolkata_CD1ED46B92DA840F7CF4212BECF2988B.htm,Maruti,13,2.0,5.3977,200000,Diesel,Individual,97.0140904669263,Manual,Second Owner,17.8,1248,,5,5
556,City i-VTEC S,/used-car-details/used-Honda-City-2017-2020-i-VTEC-S-cars-Kolkata_5375ED34BA5F05BF1C7CD9BBA5D311D8.htm,Honda,3,7.0,14.545000000000002,3993,Petrol,Dealer,117.3,Manual,First Owner,17.4,1497,FWD,5,5
557,Swift Dzire VXI 1.2,/used-car-details/used-Maruti-Dzire-2017-2020-VXI-1.2-cars-Kolkata_8C2BF2FC2404E30B5EEF4221874674EB.htm,Maruti,1,6.3,8.34,32000,Petrol,Individual,81.8,Manual,First Owner,21.21,1197,FWD,5,5
558,Accord 2.4 AT,/used-car-details/used-Honda-New-Accord-2008-2011-2.4-AT-cars-Kolkata_7A5F03CCBCFEB24065D699C4004D7CE7.htm,Honda,12,2.5,6.7471,50000,Petrol,Individual,177.6,Automatic,First Owner,11.7,2354,FWD,5,5
559,Alto LXi BSIII,/used-car-details/used-Maruti-Alto-2005-2010-LXi-BSIII-cars-Kolkata_222CBEA5E5DB752F21999C7FFF62B192.htm,Maruti,16,0.60332,1.6283,72000,Petrol,Individual,46.3,Manual,First Owner,19.7,796,FWD,5,5
560,Jazz 1.2 S i VTEC,/used-car-details/used-Honda-Jazz-2018-2020-1.2-S-i-VTEC-cars-Kolkata_BDF0FA89BEF8472A9C07BFAB5E548908.htm,Honda,6,3.89,9.825,45238,Petrol,Dealer,88.7,Manual,First Owner,18.7,1199,FWD,5,5
561,City EXi,/used-car-details/used-Honda-City-ZX-2005-2008-EXi-cars-Kolkata_179BC763F9A6AE8AEA82E15E60DF3D3D.htm,Honda,16,1.5,14.545000000000002,47000,Petrol,Individual,78.0,Manual,First Owner,17.7,1497,FWD,5,5
562,A4 New  2.0 TDI Multitronic,/used-car-details/used-Audi-A4-2008-2014-New--2.0-TDI-Multitronic-cars-Kolkata_2148F1E788146367ED21EDF63DDB8FF0.htm,Audi,10,9.07,24.4785,40000,Diesel,Individual,140.8,Automatic,First Owner,15.2,1968,FWD,5,6
