,Car Name,Car url,Year,Selling Price,Current Value,KMs Driven,Fuel,Seller Type,max_power,Transmission,Owner,Mileage,Engine,Drive Type,Seats,Gear Box
687,Hyundai Grand i10 Sportz,/used-car-details/used-Hyundai-Grand-i10-2016-2017-Sportz-cars-Kolkata_C2067188120465D672EC8CDEF9961510.htm,2016,4.45 Lakh*,,"18,000 kms",Petrol,Dealer,82bhp@6000rpm,Manual,First Owner,18.9 kmpl,1197 CC,FWD,5,5 Speed
688,Fiat Linea Emotion (Diesel),/used-car-details/used-Fiat-Linea-2007-2013-Emotion-(Diesel)-cars-Kolkata_B128E38413B3D1A348B75EBB08BE91D5.htm,2011,1.65 Lakh*,,"42,000 kms",Diesel,Dealer,91.7bhp@4000rpm,Manual,First Owner,20.4 kmpl,1248 CC,FWD,5,5 Speed
689,Ford Figo Petrol ZXI,/used-car-details/used-Ford-Figo-2010-2012-Petrol-ZXI-cars-Kolkata_D0E64E597790EBEF07DC5C73ADE415E5.htm,2010,1.7 Lakh*,Rs.  6.69-9.10 Lakh*,"72,000 kms",Petrol,Dealer,70bhp@6250rpm,Manual,Second Owner,15.6 kmpl,1196 CC,Front Wheel Drive,5,5 Speed
690,Maruti Baleno 1.2 CVT Zeta,/used-car-details/used-Maruti-Baleno-1.2-CVT-Zeta-cars-Kolkata_E078E665A8A2A6ED1B53CEC8021BC2C6.htm,2016,5.83 Lakh*,Rs.  6.78-10.42 Lakh*,"38,000 kms",Petrol,Dealer,83.1bhp@6000rpm,Automatic,First Owner,21.4 kmpl,1197 CC,FWD,5,CVT
691,Hyundai EON D Lite Plus,/used-car-details/used-Hyundai-EON-D-Lite-Plus-cars-Kolkata_388D0B032064D94ACF8A46B533FEC239.htm,2016,1.9 Lakh*,,"20,100 kms",Petrol,Dealer,55.2bhp@5500rpm,Manual,First Owner,21.1 kmpl,814 CC,FWD,5,5 Speed
692,Audi A6 2.0 TFSI Premium,/used-car-details/used-Audi-A6-2011-2015-2.0-TFSI-Premium-cars-Kolkata_E87F03CCBA32ED624D0818A8E6C69FA1.htm,2013,13.99 Lakh*,Rs.  63.55-68.80 Lakh*,"34,256 kms",Petrol,Dealer,177.01bhp@4000-6000rpm,Automatic,First Owner,13.53 kmpl,1984 CC,FWD,5,8 Speed
693,Renault Duster Petrol RxL,/used-car-details/used-Renault-Duster-2012-2015-Petrol-RxL-cars-Kolkata_7640E1503680B55E0B4BD89A0EE731C6.htm,2013,4.5 Lakh*,Rs.  11.00-15.93 Lakh*,"21,104 kms",Petrol,Dealer,102.57bhp@5850rpm,Manual,First Owner,13.24 kmpl,1598 CC,FWD,5,5 speed
694,Audi Q3 35 TDI Quattro Premium Plus,/used-car-details/used-Audi-Q3-35-TDI-Quattro-Premium-Plus-cars-Kolkata_8768C4BD0C74CA247E84ADA164B534E3.htm,2018,19.99 Lakh*,,"40,362 kms",Diesel,Dealer,181bhp@3500-4000rpm,Automatic,First Owner,15.17 kmpl,1968 CC,AWD,5,7-Speed S-Tronic
695,Datsun GO T BSIV,/used-car-details/used-Datsun-GO-T-BSIV-cars-Kolkata_C95BF7AF766D9689CF9F4B50BD25E7B4.htm,2014,2.9 Lakh*,Rs.  4.53-7.25 Lakh*,"9,009 kms",Petrol,Dealer,67bhp@5000rpm,Manual,First Owner,20.63 kmpl,1198 CC,FWD,5,5 Speed
696,Hyundai i20 Asta Option,/used-car-details/used-Hyundai-Elite-i20-2017-2020-Asta-Option-cars-Kolkata_E4FCC081255082D04F4EF129CE53AD6B.htm,2018,6.49 Lakh*,Rs.  7.69-12.67 Lakh*,"26,524 kms",Petrol,Dealer,81.86bhp@6000rpm,Manual,First Owner,18.6 kmpl,1197 CC,FWD,5,5 Speed
